Year,Construction,Home_Application,Newsprint_Paper,Printing_Writing_Paper,Other_Paper
1961,1313642554,1995546825,66389400,171315000,17256400
1962,1211642890,1844229339,66874500,185557500,17396400
1963,1337033277,2034668115,85908900,199777500,17536400
1964,1422223670,2166440811,85054200,199552500,17746400
1965,1493561306,2278742558,88080300,209340000,17886400
1966,1525577331,2335984108,92353800,221422500,18096400
1967,1509076566,2312076338,72095100,159412500,18096400
1968,1575585232,2399426693,84615300,166005000,17956400
1969,1619075952,2465484430,90829200,173092500,17816400
1970,1680138637,2564977181,101001285,187042950,17886400
1971,1760444358,2679295373,112358400,193927950,18550000
1972,1865430528,2860727041,125340600,195255000,20930000
1973,1946323267,2994090875,159135900,249930000,22820000
1974,2089388454,3196185247,103326300,284760000,25830000
1975,2722120586,4137305830,102910500,290475000,28140000
1976,2818764250,4290053531,107807700,298462500,30450000
1977,2955441143,4494890554,123585000,330547500,32620000
1978,3097559732,4729126423,139778100,387855000,38430000
1979,3244382003,5000363120,137075400,385695000,42280000
1980,3270648513,5068458259,141275211,419088375,46344200
1981,3107765440,4849663280,154539000,430087500,50400000
1982,3254400551,5075167472,148417500,462622500,54670000
1983,3484768538,5433938773,163640400,511155000,57680000
1984,3912541546,6126161205,169484700,584775000,62230000
1985,4057144291,6340329692,207461100,719482500,343770000
1986,3989812944,6281495486,179845050,803812500,396830000
1987,4001163379,6427454589,189974400,942345000,465500000
1988,4052641309,6527581319,186648000,1039005000,562170000
1989,3822301130,6205302445,205612869,1119240000,612010000
1990,3017553261,5031635896,211461327,1213908975,708778700
1991,2881335184,4918415586,204716127,1280857500,800478700
1992,2976671770,5263669535,241259634,1225903950,934168200
1993,3415518501,6016414737,279698496,1320889500,383044900
1994,3436800245,6140190315,313357968,1270976175,1090364800
1995,3614494458,7096393888,314140134,1279611675,1432050200
1996,3848290285,6978514446,438093579,1757490750,1789767700
1997,3585436401,6869066278,480208806,1923963975,1784620600
1998,3477012408,6238512903,419061258,1838160900,1815503900
1999,3244559394,6341941246,490173684,2062771425,1768675300
2000,2802051773,5917511752,575696121,2340561600,1986857600
2001,2799816778,6115228809,601178424,2352444750,2086286300
2002,2866349310,6880679452,634699758,2929289400,2311306200
2003,3127357388,8518539104,733793907,3052539000,2560968900
2004,3331650696,9018586507,918402639,3312340650,2693187000
2005,3426403949,9348683223,947513490,3445422300,3200043700
2006,3709196593,9895656979,979240185,3825684900,3440117100
2007,3642991977,10678773591,1073033808,4149412200,3776112900
2008,4024275333,11706994536,1144402875,4349465100,3953449500
2009,4873651323,13824573121,1190574693,4565443725,4143255900
2010,5578132687,15032253131,1113225267,4990688325,4461964500
2011,5869665723,15972087943,1037264844,5327306100,5235032600
2012,6153734723,16545497945,1042243356,5417404650,5549212900
2013,7701290379,20139678376,956254530,5256416025,5613328700
2014,7652888421,19579164034,850044426,5275299150,5836923400
2015,7963958431,19823800346,784908432,5435186850,6244472500
2016,8744954412,21973577524,694199352,5377264875,6497037400
2017,9187302510,22375626749,688250871,5571354150,6766153800
2018,9774995566,23458182086,611587977,5514767775,6845929300
2019,9840971802,23898568392,501784437,5430795300,7079559900
2020,9357414768,23750885365,409384437,5340795300,7604559900
